iter	RMSE
172	28610.39237
173	28558.69824
174	28447.05142
175	28392.47514
176	28306.29647
177	28281.93626
178	28211.86184
179	28188.60385
180	28108.98104
181	28086.36967
182	28045.05564
183	28001.29529
184	27933.91814
185	27893.01266
186	27854.05656
187	27834.24011
188	27769.90738
189	27760.12637
190	27704.59066
191	27623.63614
192	27608.07471
193	27592.28643
194	27558.96679
195	27500.80211
196	27437.42533
197	27375.29571
198	27349.8879
199	27327.98734
200	27252.06652
201	27209.5995
202	27197.48441
203	27187.77103
204	27148.43142
205	27118.04123
206	27061.88018
207	27032.46134
208	27003.43628
209	26964.46994
210	26895.14242
211	26835.43941
212	26808.17864
213	26772.03422
214	26704.52508
215	26662.98403
216	26594.62202
217	26501.75221
218	26456.87951
219	26449.25576
220	26438.80369
221	26386.52274
222	26339.36801
223	26292.23822
224	26248.77153
225	26205.73026
226	26185.41264
227	26145.1867
228	26096.24707
229	26026.29574
230	25917.56581
231	25907.20952
232	25897.26165
233	25892.1831
234	25858.12841
235	25814.3242
236	25807.16291
237	25783.94891
238	25741.66758
239	25714.68814
240	25673.13844
241	25626.52776
242	25603.46285
243	25593.91617
244	25537.15931
245	25493.56265
246	25451.87617
247	25402.61083
248	25377.554
249	25345.64379
250	25317.11846
251	25290.78491
252	25239.98083
253	25158.21249
254	25129.75335
255	25096.04886
256	25087.39105
257	25066.86341
258	25030.6232
259	25014.0035
260	24998.66464
261	24971.91047
262	24892.64595
263	24854.90212
264	24849.79639
265	24834.39589
266	24810.49491
267	24788.81429
268	24768.09166
269	24692.98832
270	24663.93044
271	24646.26898
272	24619.91244
273	24607.8125
274	24558.74994
275	24512.44902
276	24494.04137
277	24465.09784
278	24444.77548
279	24407.05728
280	24394.19606
281	24382.46865
282	24329.77615
283	24310.42801
284	24282.00196
285	24258.74735
286	24219.62656
287	24185.31286
288	24165.42043
289	24095.55618
290	24083.86313
291	24044.816
292	24004.50869
293	23971.22988
294	23952.07798
295	23903.3497
296	23885.12451
297	23864.13177
298	23841.09419
299	23814.87006
300	23781.69191
301	23777.4671
302	23761.25956
303	23732.96829
304	23724.81237
305	23710.87685
306	23693.89379
307	23673.04913
308	23653.36292
309	23635.91838
310	23618.69199
311	23559.94025
312	23538.47781
313	23528.30869
314	23489.79702
315	23457.48408
316	23433.67707
317	23411.13444
318	23390.84526
319	23382.36846
320	23336.51313
321	23322.08631
322	23300.67948
323	23260.66825
324	23234.54265
325	23215.40761
326	23193.86456
327	23171.5124
328	23163.99228
329	23158.50758
330	23132.78631
331	23104.76853
332	23068.45537
333	23047.96996
334	23006.7085
335	22983.35186
336	22980.86928
337	22947.68896
338	22911.16373
339	22891.13549
340	22883.53547
341	22857.46515
342	22810.18612
343	22802.50926
344	22770.68253
345	22756.38437
346	22730.01086
347	22711.75388
348	22686.50887
349	22651.02118
350	22640.89877
351	22622.5144
352	22605.10094
353	22583.44139
354	22567.55903
355	22553.32821
356	22534.66835
357	22508.28867
358	22494.76195
359	22477.425
360	22452.84143
361	22439.17953
362	22398.16236
363	22369.38715
364	22358.76111
365	22339.96952
366	22325.76974
367	22316.29261
368	22296.0169
369	22253.65857
370	22246.72249
371	22231.11078
372	22222.30482
373	22208.56545
374	22186.09681
375	22164.37592
376	22128.75308
377	22121.00127
378	22095.42601
379	22054.3423
380	22031.07096
381	22016.03399
382	21991.88667
383	21969.89129
384	21928.7684
385	21910.8868
386	21886.53784
387	21842.75459
388	21795.5937
389	21780.35221
390	21767.46221
391	21743.00146
392	21723.60973
393	21676.59688
394	21653.28128
395	21636.42509
396	21621.44702
397	21607.67703
398	21584.29125
399	21542.4544
400	21507.24972
401	21491.77406
402	21460.9212
403	21436.63002
404	21397.70827
405	21391.11057
406	21379.54513
407	21369.39381
408	21344.38846
409	21316.76438
410	21285.2221
411	21269.38637
412	21240.93829
413	21222.95723
414	21214.09577
415	21200.21519
416	21165.90015
417	21126.31098
418	21110.77547
419	21086.50818
420	21064.68484
421	21033.60145
422	21024.48921
423	21009.8175
424	21002.55863
425	20993.96052
426	20956.32403
427	20917.65407
428	20905.57473
429	20891.13631
430	20860.03069
431	20840.0943
432	20832.31853
433	20817.78397
434	20808.20645
435	20786.95862
436	20781.69346
437	20735.60139
438	20727.21506
439	20709.80228
440	20687.4747
441	20682.58509
442	20656.56377
443	20630.7097
444	20608.154
445	20588.13539
446	20553.99193
447	20537.48938
448	20523.03506
449	20516.911
450	20493.20868
451	20474.95375
452	20441.79904
453	20429.922
454	20416.50671
455	20377.87878
456	20349.06388
457	20331.58231
458	20310.23973
459	20299.14568
460	20280.8504
461	20265.02243
462	20240.43086
463	20226.23716
464	20214.22382
465	20204.62222
466	20188.05842
467	20174.13996
468	20158.95772
469	20141.93604
470	20123.6501
471	20113.26177
472	20098.1756
473	20083.66369
474	20041.03288
475	20024.68276
476	19996.75347
477	19984.48093
478	19971.13835
479	19957.60405
480	19946.11924
481	19940.94488
482	19934.09444
483	19917.94745
484	19901.93028
485	19887.77562
486	19873.11624
487	19856.12579
488	19845.1606
489	19831.88674
490	19823.73594
491	19818.51838
492	19800.08017
493	19777.74886
494	19767.85209
495	19752.61472
496	19741.1053
497	19725.02049
498	19714.59273
499	19707.2589
500	19698.12851
501	19690.1204
502	19670.19639
503	19661.089
504	19648.1636
505	19638.42716
506	19612.25191
507	19587.9975
508	19576.00835
509	19559.04591
510	19549.91798
511	19521.97934
512	19505.26363
513	19481.53459
514	19477.64644
515	19450.0129
516	19443.66193
517	19431.92213
518	19417.21656
519	19402.66987
520	19394.84199
521	19379.29361
522	19368.83565
523	19340.88272
524	19323.26534
525	19298.73495
526	19288.83213
527	19274.16108
528	19263.88517
529	19260.5953
530	19235.55325
531	19219.64982
532	19198.71994
533	19178.33801
534	19160.48397
535	19138.72584
536	19130.68484
537	19093.86846
538	19071.18648
539	19065.96524
540	19056.05499
541	19046.03406
542	19035.995
543	19022.78241
544	19016.50746
545	19002.78724
546	18993.54456
547	18977.12536
548	18966.958
549	18952.28749
550	18940.86702
551	18931.06227
552	18927.4285
553	18899.8826
554	18883.83632
555	18875.08076
556	18856.39823
557	18845.19976
558	18829.93082
559	18801.02968
560	18784.781
561	18783.35926
562	18777.09125
563	18773.24759
564	18763.55153
565	18756.4206
566	18735.18031
567	18717.93249
568	18697.57317
569	18690.67845
570	18687.16452
571	18667.6381
572	18661.77474
573	18650.54803
574	18647.43555
575	18631.98404
576	18620.26776
577	18600.88311
578	18581.54719
579	18576.70766
580	18554.37328
581	18541.95954
582	18539.0199
583	18525.22118
584	18514.3632
585	18499.34195
586	18496.01436
587	18492.10076
588	18473.16034
589	18444.85049
590	18441.52338
591	18412.64903
592	18408.3726
593	18402.94498
594	18381.87373
595	18373.84858
596	18358.27217
597	18334.17649
598	18326.52848
599	18300.77499
600	18287.40025
601	18278.29527
602	18257.72451
603	18249.52159
604	18227.83729
605	18220.11664
606	18211.82789
607	18201.73325
608	18174.06678
609	18161.88429
610	18156.87569
611	18146.90078
612	18144.07897
613	18126.32842
614	18106.96139
615	18100.85751
616	18091.78325
617	18081.5629
618	18070.40532
619	18056.12349
620	18043.77615
621	18018.21885
622	18008.66809
623	18005.51753
624	17993.49845
625	17982.64475
626	17967.25969
627	17961.935
628	17957.22243
629	17945.79329
630	17925.97954
631	17917.08771
632	17901.3158
633	17892.75709
634	17888.13579
635	17876.72514
636	17869.57778
637	17861.96883
638	17845.71531
639	17835.97594
640	17829.25664
641	17820.11686
642	17804.51711
643	17789.58443
644	17785.40202
645	17778.9493
646	17758.86166
647	17727.63992
648	17713.40261
649	17687.81783
650	17678.41098
651	17674.96309
652	17672.01294
653	17664.78261
654	17641.84122
655	17633.16707
656	17627.03308
657	17619.12812
658	17592.92569
659	17583.55528
660	17571.72024
661	17545.69129
662	17537.80728
663	17534.47814
664	17528.56036
665	17516.03697
666	17501.89738
667	17482.54185
668	17465.71722
669	17458.25383
670	17433.49682
671	17422.59164
672	17408.70665
673	17399.713
674	17392.66551
675	17379.62499
676	17352.38313
677	17349.82194
678	17339.32265
679	17326.23477
680	17313.09089
681	17296.38366
682	17288.36742
683	17284.99122
684	17275.26138
685	17273.22902
686	17269.43809
687	17263.20714
688	17254.07096
689	17249.59711
690	17246.39674
691	17238.7867
692	17232.0463
693	17218.82176
694	17201.00266
695	17187.38578
696	17175.22745
697	17164.59751
698	17134.13825
699	17124.10138
700	17115.26186
701	17109.97183
702	17102.7969
703	17095.06614
704	17089.15903
705	17083.84026
706	17072.98703
707	17071.04523
708	17047.51845
709	17043.96069
710	17036.4144
711	16994.53513
712	16972.48264
713	16966.47003
714	16944.16075
715	16933.50947
716	16920.91044
717	16913.51527
718	16906.40535
719	16900.77364
720	16896.61188
721	16893.23716
722	16889.64358
723	16882.21163
724	16863.86593
725	16857.7849
726	16843.75881
727	16836.13125
728	16827.19558
729	16821.38675
730	16814.82099
731	16811.34699
732	16805.02728
733	16776.20776
734	16742.80355
735	16727.04523
736	16704.61848
737	16696.37238
738	16691.32747
739	16678.64279
740	16662.87409
741	16651.12848
742	16634.56419
743	16622.01843
744	16607.84583
745	16596.55727
746	16584.93157
747	16577.36228
748	16562.86958
749	16558.06298
750	16545.33172
751	16539.26778
752	16525.5095
753	16518.61842
754	16503.18159
755	16484.79533
756	16477.60087
757	16472.12579
758	16463.74719
759	16444.15968
760	16433.39386
761	16429.38409
762	16421.41544
763	16414.16927
764	16398.18087
765	16390.62293
766	16385.52974
767	16381.2315
768	16373.91214
769	16360.79879
770	16352.9841
771	16344.49904
772	16324.69432
773	16317.22078
774	16305.47364
775	16296.75862
776	16288.4892
777	16274.77868
778	16271.24479
779	16264.87239
780	16252.38413
781	16247.76559
782	16240.24114
783	16231.5196
784	16210.82824
785	16187.10444
786	16177.49934
787	16156.09524
788	16141.79384
789	16132.17748
790	16126.35331
791	16121.41112
792	16118.85619
793	16110.41884
794	16091.71515
795	16073.46313
796	16070.79399
797	16067.69451
798	16060.52461
799	16050.83983
800	16038.2851
801	16017.54697
802	16009.73365
803	16006.74526
804	15990.01494
805	15983.07749
806	15972.09308
807	15965.36579
808	15953.419
809	15947.9056
810	15938.34956
811	15917.4711
812	15902.47709
813	15895.72604
814	15890.80845
815	15871.95648
816	15856.19582
817	15846.66949
818	15831.44903
819	15829.29011
820	15818.79926
821	15814.1536
822	15804.46729
823	15802.66189
824	15789.25807
825	15786.01437
826	15782.23816
827	15772.09175
828	15766.8184
829	15741.90364
830	15732.34441
831	15726.78885
832	15710.56258
833	15709.00738
834	15693.18598
835	15685.38646
836	15682.47887
837	15662.08542
838	15653.72167
839	15643.41617
840	15636.94386
841	15625.01983
842	15608.78614
843	15599.85573
844	15589.41094
845	15577.79067
846	15574.22359
847	15561.92799
848	15554.17308
849	15542.87394
850	15534.25202
851	15519.98224
852	15515.20078
853	15513.5137
854	15504.40178
855	15496.9598
856	15493.20287
857	15483.238
858	15477.21147
859	15466.08715
860	15457.62515
861	15444.53617
862	15427.21253
863	15420.16721
864	15411.10784
865	15390.14372
866	15381.83825
867	15377.02388
868	15372.02852
869	15369.65462
870	15357.21066
871	15353.3395
872	15346.66003
873	15337.50654
874	15334.40737
875	15319.05604
876	15312.23079
877	15308.65665
878	15301.72964
879	15298.24521
880	15288.21023
881	15283.87502
882	15278.3398
883	15268.61938
884	15263.30794
885	15250.4153
886	15243.8655
887	15239.30824
888	15221.33405
889	15204.63582
890	15197.21768
891	15189.27539
892	15174.91768
893	15166.29372
894	15162.88764
895	15148.56971
896	15142.83711
897	15132.62433
898	15119.85172
899	15106.51373
900	15101.38773
901	15096.73739
902	15085.13378
903	15066.0482
904	15063.35963
905	15058.30604
906	15043.4488
907	15029.90711
908	15025.15722
909	15018.60975
910	15012.20841
911	15009.3376
912	15005.74188
913	15000.4689
914	14989.70826
915	14986.43093
916	14978.47012
917	14974.30855
918	14970.48249
919	14956.74777
920	14949.33078
921	14939.00626
922	14936.24404
923	14923.07762
924	14920.72472
925	14906.57624
926	14905.83815
927	14904.20422
928	14891.24027
929	14876.77613
930	14868.95532
931	14866.65147
932	14852.34182
933	14837.30077
934	14816.06402
935	14813.14003
936	14804.38002
937	14802.05456
938	14799.99125
939	14792.0041
940	14782.24054
941	14773.42128
942	14767.16444
943	14757.39147
944	14750.10432
945	14735.63175
946	14724.52772
947	14715.96082
948	14705.43739
949	14703.64773
950	14693.64769
951	14683.63721
952	14677.78109
953	14673.86942
954	14670.18708
955	14668.02316
956	14659.25324
957	14656.26697
958	14646.01904
959	14638.7038
960	14632.95452
961	14626.81747
962	14620.46372
963	14604.64361
964	14591.60676
965	14589.62162
966	14586.55176
967	14576.80249
968	14564.99465
969	14559.81862
970	14552.80523
971	14545.72264
972	14540.73642
973	14535.8462
974	14523.58849
975	14520.05556
976	14518.67208
977	14513.86361
978	14508.6598
979	14498.69357
980	14496.88251
981	14490.53342
982	14487.15397
983	14474.22452
984	14469.48723
985	14465.16704
986	14455.12632
987	14448.72084
988	14436.5295
989	14431.38383
990	14426.00185
991	14418.17571
992	14406.26294
993	14387.2392
994	14383.6747
995	14377.93097
996	14370.54264
997	14350.84966
998	14348.8416
999	14339.75631
